permno,date,ret,dlret,shrout,prc,vol,exchcd,ret_adj
58720,1986-06-30,0.05,,8313.0,6.25,2811.0,1,0.05
27043,1962-11-30,0.112,,3921.0,34.75,2162.0,1,0.1120000000000001
26252,1986-06-30,-0.04386,,2510.0,13.625,3650.0,3,-0.04386
76355,2002-10-31,,,12365.0,,,2,0.0
88275,2003-05-30,0.199355,,69593.0,26.05,386408.0,3,0.1993549999999999
18770,2021-11-30,-0.17983,,147185.0,40.5,161513.0,3,-0.1798299999999999
21776,1961-11-30,0.008633,,27018.0,34.75,504.0,3,0.0086329999999998
76218,2004-01-30,-0.089728,,22578.0,14.71,9541.0,1,-0.089728
20618,2011-04-29,0.204402,,44010.0,51.26,98818.0,1,0.2044019999999999
30365,1968-09-30,0.0,,7425.0,100.0,188.0,1,0.0
80980,1974-02-28,-0.026316,,1276.0,-9.25,,3,-0.026316
89348,2021-12-31,0.039422,,11863.0,14.33,5844.0,1,0.039422
13821,1984-08-31,0.1125,,31436.0,11.125,7709.0,1,0.1125
75039,1986-01-31,0.049215,,2980.0,-10.4375,15039.0,1,0.049215
81042,1998-08-31,-0.44186,,24164.0,6.0,24133.0,1,-0.4418599999999999
89068,2007-02-28,-0.007822,,202554.0,20.63,4009.0,1,-0.0078219999999999
90473,1986-01-31,0.18,,1150.0,-22.125,995.0,3,0.1799999999999999
78987,2007-09-28,-0.057113,,215465.0,36.32,674758.0,3,-0.0571129999999999
76769,2000-03-31,0.40625,,25832.0,28.125,103030.0,1,0.40625
14286,1985-05-31,0.177778,,1789.0,13.25,263.0,3,0.177778
89059,2018-01-31,0.036996,,81900.0,215.83,55417.0,4,0.036996
82535,2002-10-31,-0.093467,,34697.0,9.02,51642.0,3,-0.0934669999999999
60353,1989-12-29,-0.004566,,6580.0,13.625,863.0,2,-0.0045659999999999
91457,2007-08-31,0.022793,,22325.0,52.95,67071.0,1,0.022793
62607,1985-02-28,-0.061644,,14754.0,17.125,10882.0,1,-0.061644
47221,1988-12-30,-0.285714,,36166.0,0.3125,9378.0,3,-0.285714
38674,1981-04-30,0.0,,3537.0,9.625,1432.0,1,0.0
65307,1994-07-29,0.037059,,56751.0,17.5,24687.0,1,0.0370589999999999
75714,1993-05-28,0.222222,,7314.0,1.375,6974.0,3,0.2222219999999999
91998,2019-10-31,0.004401,,58000.0,31.95,59538.0,4,0.004401
35158,1980-06-30,0.041667,,400.0,-12.5,,3,0.0416669999999999
89778,2010-07-30,0.074149,,101889.0,21.15,145814.0,1,0.074149
16644,2002-11-29,0.012459,,13439.0,18.61,3771.0,3,0.0124589999999999
76732,2000-09-29,-0.025478,,20000.0,19.125,7858.0,1,-0.025478
18777,2019-08-30,0.07856,,23413.0,19.77,16689.0,3,0.0785599999999999
25144,1977-02-28,-0.013954,,9535.0,26.5,913.0,1,-0.013954
80168,2021-12-31,0.057666,,1031.0,-118.705,34.0,1,0.0576659999999999
75841,2004-02-27,0.013363,,12966.0,14.9,1307.0,1,0.013363
39941,1965-02-26,0.05641,,1886.0,25.75,1138.0,1,0.05641
84084,2020-06-30,0.083851,,16532.0,20.94,88316.0,3,0.0838509999999999
91225,2010-11-30,0.0,,5900.0,54.18,7761.0,4,0.0
43246,1981-02-27,0.018005,,2961.0,52.0,2142.0,1,0.018005
77631,1985-05-31,0.148649,,13837.0,-2.65625,25507.0,3,0.148649
86260,2017-09-29,0.010799,,4520.0,4.68,4135.0,3,0.010799
91264,2006-07-31,-0.082005,,4537.0,4.03,2569.0,3,-0.082005
77679,1993-09-30,-0.058824,,3248.0,12.0,2819.0,3,-0.0588239999999999
19141,2020-10-30,-0.150794,,30534.0,1.07,94743.0,3,-0.1507939999999999
36688,1977-04-29,,,375.0,,,3,0.0
83931,2003-11-28,0.091566,,3176.0,4.53,2020.0,3,0.091566
65541,1985-04-30,0.039548,,20719.0,23.0,18104.0,3,0.0395479999999999
48120,1986-05-30,,,1852.0,-4.125,54.0,3,0.0
85012,1999-07-30,-0.203704,,17165.0,2.6875,27806.0,3,-0.203704
89003,2004-01-30,-0.022256,,64848.0,32.07,36199.0,1,-0.022256
87054,2010-01-29,-0.069196,,300847.0,22.33,885750.0,1,-0.069196
20299,2000-08-31,0.026,,5580.0,7.625,1242.0,3,0.026
11511,2018-01-31,0.018072,,13203.0,1.69,9831.0,3,0.018072
78139,1993-12-31,0.050505,,36356.0,26.0,40428.0,3,0.050505
80719,2014-08-29,0.109697,,27485.0,71.52,123379.0,1,0.1096969999999999
50412,1995-05-31,0.083333,,4675.0,-3.25,197.0,3,0.0833330000000001
89039,2001-09-28,-0.552284,,26812.0,4.41,43605.0,3,-0.552284
89997,2018-11-30,0.034527,,19667.0,121.05,26109.0,4,0.0345269999999999
